State,County,County FIPS Code,Opioid Dispensing Rate per 100
SC,ABBEVILLE,45001,30
LA,ACADIA,22001,28.4
VA,ACCOMACK,51001,19.4
ID,ADA,16001,54.9
IA,ADAIR,19001,13.8
KY,ADAIR,21001,51
MO,ADAIR,29001,85.3
OK,ADAIR,40001,62.2
CO,ADAMS,8001,28
IA,ADAMS,19003,16.2
ID,ADAMS,16003,13.2
IL,ADAMS,17001,91.4
IN,ADAMS,18001,26
MS,ADAMS,28001,91
ND,ADAMS,38001,99.1
NE,ADAMS,31001,48.1
OH,ADAMS,39001,32.9
PA,ADAMS,42001,23.2
WA,ADAMS,53001,16.3
WI,ADAMS,55001,4.7
VT,ADDISON,50001,24.8
SC,AIKEN,45003,40
MN,AITKIN,27001,44.5
FL,ALACHUA,12001,94.2
NC,ALAMANCE,37001,31.5
CA,ALAMEDA,6001,18.2
CO,ALAMOSA,8003,35.8
NY,ALBANY,36001,57.5
WY,ALBANY,56001,24.9
VA,ALBEMARLE,51003,37
MI,ALCONA,26001,24.6
MS,ALCORN,28003,109.9
AK,ALEUTIANS EAST,2013,9.6
AK,ALEUTIANS WEST,2016,2.1
IL,ALEXANDER,17003,56
NC,ALEXANDER,37003,7.1
VA,ALEXANDRIA CITY,51510,19.2
OK,ALFALFA,40003,5.8
MI,ALGER,26003,15.4
IA,ALLAMAKEE,19005,27.5
MI,ALLEGAN,26005,13.5
MD,ALLEGANY,24001,91
NY,ALLEGANY,36003,27.9
NC,ALLEGHANY,37005,41.4
VA,ALLEGHANY,51005,50.1
PA,ALLEGHENY,42003,63.7
IN,ALLEN,18003,80.6
KS,ALLEN,20001,83.3
KY,ALLEN,21003,33.5
LA,ALLEN,22003,34.7
OH,ALLEN,39003,67.5
SC,ALLENDALE,45005,44.5
MI,ALPENA,26007,52.4
CA,ALPINE,6003,23
CA,AMADOR,6005,31.8
VA,AMELIA,51007,1.7
VA,AMHERST,51009,32.3
MS,AMITE,28005,10.9
AK,ANCHORAGE,2020,47.2
KS,ANDERSON,20003,7.9
KY,ANDERSON,21005,23.1
SC,ANDERSON,45007,67.1
TN,ANDERSON,47001,51.9
TX,ANDERSON,48001,36.4
MO,ANDREW,29003,2.5
TX,ANDREWS,48003,11.6
ME,ANDROSCOGGIN,23001,49.6
TX,ANGELINA,48005,58.3
MD,ANNE ARUNDEL,24003,44
MN,ANOKA,27003,20.3
NC,ANSON,37007,6.2
NE,ANTELOPE,31003,40.5
MI,ANTRIM,26009,46.4
AZ,APACHE,4001,4.9
IA,APPANOOSE,19007,40.1
GA,APPLING,13001,41.9
VA,APPOMATTOX,51011,17
TX,ARANSAS,48007,17
CO,ARAPAHOE,8005,42.3
TX,ARCHER,48009,0.5
CO,ARCHULETA,8007,37.3
MI,ARENAC,26011,26.1
AR,ARKANSAS,5001,70.7
VA,ARLINGTON,51013,31.1
PA,ARMSTRONG,42005,26.8
TX,ARMSTRONG,48011,20.3
ME,AROOSTOOK,23003,49.6
LA,ASCENSION,22005,33.5
NC,ASHE,37009,45.2
OH,ASHLAND,39005,18.5
WI,ASHLAND,55003,61.4
AR,ASHLEY,5003,26
OH,ASHTABULA,39007,34.3
WA,ASOTIN,53003,59.9
LA,ASSUMPTION,22007,20.7
TX,ATASCOSA,48013,20
KS,ATCHISON,20005,52.7
MO,ATCHISON,29005,62.5
OH,ATHENS,39009,44.9
GA,ATKINSON,13003,58.1
NJ,ATLANTIC,34001,53.9
OK,ATOKA,40005,4.7
MS,ATTALA,28007,34.7
MO,AUDRAIN,29007,26.4
IA,AUDUBON,19009,34.5
OH,AUGLAIZE,39011,20.5
VA,AUGUSTA,51015,43.2
SD,AURORA,46003,21.1
TX,AUSTIN,48015,20.3
AL,AUTAUGA,1001,98.3
NC,AVERY,37011,32.4
LA,AVOYELLES,22009,34.7
CO,BACA,8009,45.2
GA,BACON,13005,131.3
TX,BAILEY,48017,23.2
FL,BAKER,12003,13
GA,BAKER,13007,42.3
OR,BAKER,41001,68.4
AL,BALDWIN,1003,65
GA,BALDWIN,13009,42.2
KY,BALLARD,21007,4.2
MD,BALTIMORE,24005,41.8
MD,BALTIMORE CITY,24510,68.6
SC,BAMBERG,45009,46.6
TX,BANDERA,48019,9.6
GA,BANKS,13011,10.6
ID,BANNOCK,16005,77.5
MI,BARAGA,26013,36.3
KS,BARBER,20007,24.1
AL,BARBOUR,1005,22.8
WV,BARBOUR,54001,23
ND,BARNES,38003,34.7
MA,BARNSTABLE,25001,32.1
SC,BARNWELL,45011,47
KY,BARREN,21009,78.3
WI,BARRON,55005,42.6
